name,sku,description,short_description,price,compare_price,cost_price,quantity,parent_category,sub_category,brand,product_type,tags,weight,ingredients,calories,delivery_info,is_featured,is_published,status
Vitamin C Brightening Body Wash,BW-VC-001,Luxurious body wash enriched with Vitamin C to brighten and refresh your skin,Brightening body wash with Vitamin C,299,399,150,100,Body Wash,Vitamin C,Yuvic,Body Care,"vitamin c, brightening, body wash",250,Vitamin C Extract Water Glycerin,0,Ships in 2-3 days,true,true,true
Coffee Energizing Body Wash,BW-CF-001,Invigorating coffee-infused body wash for smooth energized skin,Coffee body wash for energy boost,279,349,140,100,Body Wash,Coffee,Yuvic,Body Care,"coffee, energizing, body wash",250,Coffee Extract Water Glycerin,0,Ships in 2-3 days,true,true,true
Sea Buckthorn Nourishing Body Wash,BW-SB-001,Deeply nourishing body wash with sea buckthorn oil,Sea buckthorn body wash,319,429,160,100,Body Wash,Sea Buckthorn,Yuvic,Body Care,"sea buckthorn, nourishing, body wash",250,Sea Buckthorn Oil Water Glycerin,0,Ships in 2-3 days,false,true,true
Strawberry Fresh Body Wash,BW-ST-001,Sweet strawberry scented body wash for fresh clean skin,Strawberry body wash,269,339,135,100,Body Wash,Strawberry,Yuvic,Body Care,"strawberry, fresh, body wash",250,Strawberry Extract Water Glycerin,0,Ships in 2-3 days,false,true,true
Charcoal Detox Body Wash,BW-CH-001,Activated charcoal body wash for deep cleansing and detox,Charcoal detox body wash,329,449,165,100,Body Wash,Charcoal,Yuvic,Body Care,"charcoal, detox, body wash",250,Activated Charcoal Water Glycerin,0,Ships in 2-3 days,true,true,true
Ubtan Traditional Body Wash,BW-UB-001,Traditional ubtan formula body wash for natural glow,Ubtan body wash,289,379,145,100,Body Wash,Ubtan,Yuvic,Body Care,"ubtan, traditional, body wash",250,Turmeric Sandalwood Water Glycerin,0,Ships in 2-3 days,false,true,true
Guava Refreshing Body Wash,BW-GV-001,Tropical guava body wash for refreshed skin,Guava body wash,279,349,140,100,Body Wash,Guava,Yuvic,Body Care,"guava, refreshing, body wash",250,Guava Extract Water Glycerin,0,Ships in 2-3 days,false,true,true
Pineapple Tropical Body Wash,BW-PN-001,Exotic pineapple body wash with tropical fragrance,Pineapple body wash,279,349,140,100,Body Wash,Pineapple,Yuvic,Body Care,"pineapple, tropical, body wash",250,Pineapple Extract Water Glycerin,0,Ships in 2-3 days,false,true,true
Papaya Enzyme Body Wash,BW-PP-001,Papaya enzyme body wash for gentle exfoliation,Papaya body wash,299,399,150,100,Body Wash,Papaya,Yuvic,Body Care,"papaya, enzyme, body wash",250,Papaya Extract Water Glycerin,0,Ships in 2-3 days,false,true,true
Kiwi Dragon Fruit Exotic Body Wash,BW-KD-001,Exotic blend of kiwi and dragon fruit body wash,Kiwi dragon fruit body wash,319,429,160,100,Body Wash,Kiwi Dragon Fruit,Yuvic,Body Care,"kiwi, dragon fruit, body wash",250,Kiwi Dragon Fruit Extract Water,0,Ships in 2-3 days,true,true,true
Anardana Pomegranate Body Wash,BW-AN-001,Rich pomegranate body wash for radiant skin,Anardana body wash,309,409,155,100,Body Wash,Anardana,Yuvic,Body Care,"anardana, pomegranate, body wash",250,Pomegranate Extract Water Glycerin,0,Ships in 2-3 days,false,true,true
Vitamin C Glow Face Pack,FP-VC-001,Brightening face pack with vitamin C for glowing skin,Vitamin C face pack,399,549,200,80,Face Pack,Vitamin C,Yuvic,Face Care,"vitamin c, face pack, glow",100,Vitamin C Kaolin Clay Aloe Vera,0,Ships in 2-3 days,true,true,true
Coffee Revitalizing Face Pack,FP-CF-001,Coffee face pack to revitalize and energize tired skin,Coffee face pack,379,499,190,80,Face Pack,Coffee,Yuvic,Face Care,"coffee, face pack, revitalizing",100,Coffee Powder Kaolin Clay,0,Ships in 2-3 days,true,true,true
Sea Buckthorn Hydrating Face Pack,FP-SB-001,Deeply hydrating face pack with sea buckthorn,Sea buckthorn face pack,429,579,215,80,Face Pack,Sea Buckthorn,Yuvic,Face Care,"sea buckthorn, face pack, hydrating",100,Sea Buckthorn Oil Kaolin Clay,0,Ships in 2-3 days,false,true,true
Strawberry Brightening Face Pack,FP-ST-001,Strawberry face pack for bright fresh complexion,Strawberry face pack,369,489,185,80,Face Pack,Strawberry,Yuvic,Face Care,"strawberry, face pack, brightening",100,Strawberry Extract Kaolin Clay,0,Ships in 2-3 days,false,true,true
Charcoal Deep Cleanse Face Pack,FP-CH-001,Activated charcoal face pack for deep pore cleansing,Charcoal face pack,449,599,225,80,Face Pack,Charcoal,Yuvic,Face Care,"charcoal, face pack, deep cleanse",100,Activated Charcoal Bentonite Clay,0,Ships in 2-3 days,true,true,true
Ubtan Glow Face Pack,FP-UB-001,Traditional ubtan face pack for natural radiance,Ubtan face pack,389,519,195,80,Face Pack,Ubtan,Yuvic,Face Care,"ubtan, face pack, glow",100,Turmeric Sandalwood Gram Flour,0,Ships in 2-3 days,true,true,true
Guava Vitamin Face Pack,FP-GV-001,Guava face pack rich in vitamins for healthy skin,Guava face pack,379,499,190,80,Face Pack,Guava,Yuvic,Face Care,"guava, face pack, vitamin",100,Guava Extract Kaolin Clay,0,Ships in 2-3 days,false,true,true
Pineapple Enzyme Face Pack,FP-PN-001,Pineapple enzyme face pack for gentle exfoliation,Pineapple face pack,389,519,195,80,Face Pack,Pineapple,Yuvic,Face Care,"pineapple, face pack, enzyme",100,Pineapple Extract Kaolin Clay,0,Ships in 2-3 days,false,true,true
Papaya Brightening Face Pack,FP-PP-001,Papaya face pack for bright even skin tone,Papaya face pack,399,549,200,80,Face Pack,Papaya,Yuvic,Face Care,"papaya, face pack, brightening",100,Papaya Extract Kaolin Clay,0,Ships in 2-3 days,false,true,true
Kiwi Dragon Fruit Antioxidant Face Pack,FP-KD-001,Antioxidant rich kiwi dragon fruit face pack,Kiwi dragon fruit face pack,429,579,215,80,Face Pack,Kiwi Dragon Fruit,Yuvic,Face Care,"kiwi, dragon fruit, face pack",100,Kiwi Dragon Fruit Extract Clay,0,Ships in 2-3 days,true,true,true
Anardana Rejuvenating Face Pack,FP-AN-001,Pomegranate face pack for skin rejuvenation,Anardana face pack,419,559,210,80,Face Pack,Anardana,Yuvic,Face Care,"anardana, face pack, rejuvenating",100,Pomegranate Extract Kaolin Clay,0,Ships in 2-3 days,false,true,true
Onion Hair Growth Conditioner,CD-ON-001,Onion extract conditioner for hair growth and strength,Onion conditioner,349,469,175,90,Conditioner,Onion,Yuvic,Hair Care,"onion, conditioner, hair growth",200,Onion Extract Argan Oil Keratin,0,Ships in 2-3 days,true,true,true
Keratin Repair Conditioner,CD-KR-001,Keratin infused conditioner for damaged hair repair,Keratin conditioner,399,549,200,90,Conditioner,Keratin,Yuvic,Hair Care,"keratin, conditioner, repair",200,Hydrolyzed Keratin Argan Oil,0,Ships in 2-3 days,true,true,true
Rice Water Shine Conditioner,CD-RW-001,Rice water conditioner for silky shiny hair,Rice water conditioner,329,439,165,90,Conditioner,Rice Water,Yuvic,Hair Care,"rice water, conditioner, shine",200,Rice Water Protein Coconut Oil,0,Ships in 2-3 days,false,true,true
Aloe Vera Moisturizing Conditioner,CD-AL-001,Aloe vera conditioner for deep moisture and softness,Aloe conditioner,319,429,160,90,Conditioner,Aloe,Yuvic,Hair Care,"aloe, conditioner, moisturizing",200,Aloe Vera Gel Coconut Oil,0,Ships in 2-3 days,false,true,true
Anti Dandruff Control Conditioner,CD-AD-001,Anti dandruff conditioner for flake-free scalp,Anti dandruff conditioner,369,499,185,90,Conditioner,Anti Dandruff,Yuvic,Hair Care,"anti dandruff, conditioner, scalp care",200,Tea Tree Oil Zinc Pyrithione,0,Ships in 2-3 days,true,true,true
Apple Cider Vinegar Clarifying Conditioner,CD-ACV-001,ACV conditioner for clarifying and balancing hair,ACV conditioner,359,479,180,90,Conditioner,Apple Cider Vinegar,Yuvic,Hair Care,"acv, conditioner, clarifying",200,Apple Cider Vinegar Argan Oil,0,Ships in 2-3 days,false,true,true
Onion Hair Strengthening Shampoo,SH-ON-001,Onion extract shampoo for strong healthy hair,Onion shampoo,329,439,165,100,Shampoo,Onion,Yuvic,Hair Care,"onion, shampoo, strengthening",250,Onion Extract Biotin Keratin,0,Ships in 2-3 days,true,true,true
Keratin Smooth Shampoo,SH-KR-001,Keratin shampoo for smooth frizz-free hair,Keratin shampoo,379,509,190,100,Shampoo,Keratin,Yuvic,Hair Care,"keratin, shampoo, smooth",250,Hydrolyzed Keratin Argan Oil,0,Ships in 2-3 days,true,true,true
Rice Water Nourishing Shampoo,SH-RW-001,Rice water shampoo for nourished silky hair,Rice water shampoo,309,419,155,100,Shampoo,Rice Water,Yuvic,Hair Care,"rice water, shampoo, nourishing",250,Rice Water Protein Coconut Oil,0,Ships in 2-3 days,false,true,true
Aloe Vera Gentle Shampoo,SH-AL-001,Gentle aloe vera shampoo for all hair types,Aloe shampoo,299,399,150,100,Shampoo,Aloe,Yuvic,Hair Care,"aloe, shampoo, gentle",250,Aloe Vera Gel Natural Extracts,0,Ships in 2-3 days,false,true,true
Anti Dandruff Treatment Shampoo,SH-AD-001,Anti dandruff shampoo for clean healthy scalp,Anti dandruff shampoo,349,469,175,100,Shampoo,Anti Dandruff,Yuvic,Hair Care,"anti dandruff, shampoo, treatment",250,Tea Tree Oil Zinc Pyrithione,0,Ships in 2-3 days,true,true,true
Apple Cider Vinegar Balancing Shampoo,SH-ACV-001,ACV shampoo for pH balanced clean hair,ACV shampoo,339,459,170,100,Shampoo,Apple Cider Vinegar,Yuvic,Hair Care,"acv, shampoo, balancing",250,Apple Cider Vinegar Natural Extracts,0,Ships in 2-3 days,false,true,true
Apple ACV Wellness Tablets,ACV-AP-001,Apple flavored ACV tablets for daily wellness,Apple ACV tablets,499,699,250,120,ACV Tablet,Apple,Yuvic,Supplements,"acv, tablets, apple, wellness",50,Apple Cider Vinegar Vitamin B12,25,Ships in 2-3 days,true,true,true
Lemon Masala ACV Tablets,ACV-LM-001,Tangy lemon masala ACV tablets for digestion,Lemon masala ACV tablets,499,699,250,120,ACV Tablet,Lemon Masala,Yuvic,Supplements,"acv, tablets, lemon, digestion",50,Apple Cider Vinegar Lemon Extract,25,Ships in 2-3 days,false,true,true
Blueberry ACV Tablets,ACV-BB-001,Blueberry flavored ACV tablets with antioxidants,Blueberry ACV tablets,549,749,275,120,ACV Tablet,Blueberry,Yuvic,Supplements,"acv, tablets, blueberry, antioxidants",50,Apple Cider Vinegar Blueberry Extract,25,Ships in 2-3 days,true,true,true
Moringa ACV Tablets,ACV-MR-001,Moringa infused ACV tablets for immunity boost,Moringa ACV tablets,549,749,275,120,ACV Tablet,Moringa,Yuvic,Supplements,"acv, tablets, moringa, immunity",50,Apple Cider Vinegar Moringa Powder,25,Ships in 2-3 days,true,true,true
Vitamin C Radiance Body Lotion,BL-VC-001,Vitamin C body lotion for radiant glowing skin,Vitamin C body lotion,449,599,225,85,Body Lotion,Vitamin C,Yuvic,Body Care,"vitamin c, body lotion, radiance",300,Vitamin C Shea Butter Glycerin,0,Ships in 2-3 days,true,true,true
Coffee Firming Body Lotion,BL-CF-001,Coffee infused body lotion for firm toned skin,Coffee body lotion,429,579,215,85,Body Lotion,Coffee,Yuvic,Body Care,"coffee, body lotion, firming",300,Coffee Extract Shea Butter,0,Ships in 2-3 days,false,true,true
Sea Buckthorn Nourishing Body Lotion,BL-SB-001,Sea buckthorn body lotion for deep nourishment,Sea buckthorn body lotion,479,649,240,85,Body Lotion,Sea Buckthorn,Yuvic,Body Care,"sea buckthorn, body lotion, nourishing",300,Sea Buckthorn Oil Shea Butter,0,Ships in 2-3 days,false,true,true
Strawberry Soft Body Lotion,BL-ST-001,Strawberry body lotion for soft smooth skin,Strawberry body lotion,419,569,210,85,Body Lotion,Strawberry,Yuvic,Body Care,"strawberry, body lotion, soft",300,Strawberry Extract Shea Butter,0,Ships in 2-3 days,false,true,true
Charcoal Detox Body Lotion,BL-CH-001,Charcoal body lotion for detoxified healthy skin,Charcoal body lotion,459,619,230,85,Body Lotion,Charcoal,Yuvic,Body Care,"charcoal, body lotion, detox",300,Activated Charcoal Shea Butter,0,Ships in 2-3 days,true,true,true
Ubtan Glow Body Lotion,BL-UB-001,Traditional ubtan body lotion for natural glow,Ubtan body lotion,439,589,220,85,Body Lotion,Ubtan,Yuvic,Body Care,"ubtan, body lotion, glow",300,Turmeric Sandalwood Shea Butter,0,Ships in 2-3 days,false,true,true
Guava Fresh Body Lotion,BL-GV-001,Guava body lotion for fresh hydrated skin,Guava body lotion,429,579,215,85,Body Lotion,Guava,Yuvic,Body Care,"guava, body lotion, fresh",300,Guava Extract Shea Butter,0,Ships in 2-3 days,false,true,true
Pineapple Tropical Body Lotion,BL-PN-001,Pineapple body lotion with tropical fragrance,Pineapple body lotion,429,579,215,85,Body Lotion,Pineapple,Yuvic,Body Care,"pineapple, body lotion, tropical",300,Pineapple Extract Shea Butter,0,Ships in 2-3 days,false,true,true
Papaya Enzyme Body Lotion,BL-PP-001,Papaya enzyme body lotion for smooth skin,Papaya body lotion,449,599,225,85,Body Lotion,Papaya,Yuvic,Body Care,"papaya, body lotion, enzyme",300,Papaya Extract Shea Butter,0,Ships in 2-3 days,false,true,true
Kiwi Dragon Fruit Exotic Body Lotion,BL-KD-001,Exotic kiwi dragon fruit body lotion,Kiwi dragon fruit body lotion,479,649,240,85,Body Lotion,Kiwi Dragon Fruit,Yuvic,Body Care,"kiwi, dragon fruit, body lotion",300,Kiwi Dragon Fruit Extract Shea Butter,0,Ships in 2-3 days,true,true,true
Anardana Pomegranate Body Lotion,BL-AN-001,Pomegranate body lotion for radiant skin,Anardana body lotion,469,629,235,85,Body Lotion,Anardana,Yuvic,Body Care,"anardana, body lotion, radiant",300,Pomegranate Extract Shea Butter,0,Ships in 2-3 days,false,true,true
Vitamin C Brightening Face Wash,FW-VC-001,Vitamin C face wash for bright clear complexion,Vitamin C face wash,249,329,125,110,Face Wash,Vitamin C,Yuvic,Face Care,"vitamin c, face wash, brightening",150,Vitamin C Glycerin Aloe Vera,0,Ships in 2-3 days,true,true,true
Coffee Energizing Face Wash,FW-CF-001,Coffee face wash to energize and refresh skin,Coffee face wash,229,299,115,110,Face Wash,Coffee,Yuvic,Face Care,"coffee, face wash, energizing",150,Coffee Extract Glycerin,0,Ships in 2-3 days,false,true,true
Sea Buckthorn Gentle Face Wash,FW-SB-001,Gentle sea buckthorn face wash for sensitive skin,Sea buckthorn face wash,269,359,135,110,Face Wash,Sea Buckthorn,Yuvic,Face Care,"sea buckthorn, face wash, gentle",150,Sea Buckthorn Oil Glycerin,0,Ships in 2-3 days,false,true,true
Strawberry Fresh Face Wash,FW-ST-001,Strawberry face wash for fresh clean skin,Strawberry face wash,219,289,110,110,Face Wash,Strawberry,Yuvic,Face Care,"strawberry, face wash, fresh",150,Strawberry Extract Glycerin,0,Ships in 2-3 days,false,true,true
Charcoal Deep Cleanse Face Wash,FW-CH-001,Charcoal face wash for deep pore cleansing,Charcoal face wash,279,369,140,110,Face Wash,Charcoal,Yuvic,Face Care,"charcoal, face wash, deep cleanse",150,Activated Charcoal Glycerin,0,Ships in 2-3 days,true,true,true
Ubtan Natural Face Wash,FW-UB-001,Traditional ubtan face wash for natural glow,Ubtan face wash,239,319,120,110,Face Wash,Ubtan,Yuvic,Face Care,"ubtan, face wash, natural",150,Turmeric Sandalwood Glycerin,0,Ships in 2-3 days,false,true,true
Guava Vitamin Face Wash,FW-GV-001,Guava face wash rich in vitamins,Guava face wash,229,299,115,110,Face Wash,Guava,Yuvic,Face Care,"guava, face wash, vitamin",150,Guava Extract Glycerin,0,Ships in 2-3 days,false,true,true
Pineapple Enzyme Face Wash,FW-PN-001,Pineapple enzyme face wash for gentle cleansing,Pineapple face wash,239,319,120,110,Face Wash,Pineapple,Yuvic,Face Care,"pineapple, face wash, enzyme",150,Pineapple Extract Glycerin,0,Ships in 2-3 days,false,true,true
Papaya Brightening Face Wash,FW-PP-001,Papaya face wash for bright even tone,Papaya face wash,249,329,125,110,Face Wash,Papaya,Yuvic,Face Care,"papaya, face wash, brightening",150,Papaya Extract Glycerin,0,Ships in 2-3 days,false,true,true
Kiwi Dragon Fruit Antioxidant Face Wash,FW-KD-001,Antioxidant rich kiwi dragon fruit face wash,Kiwi dragon fruit face wash,269,359,135,110,Face Wash,Kiwi Dragon Fruit,Yuvic,Face Care,"kiwi, dragon fruit, face wash",150,Kiwi Dragon Fruit Extract Glycerin,0,Ships in 2-3 days,true,true,true
Anardana Rejuvenating Face Wash,FW-AN-001,Pomegranate face wash for skin rejuvenation,Anardana face wash,259,349,130,110,Face Wash,Anardana,Yuvic,Face Care,"anardana, face wash, rejuvenating",150,Pomegranate Extract Glycerin,0,Ships in 2-3 days,false,true,true
Vitamin C Glow Serum,SR-VC-001,Vitamin C serum for radiant glowing skin,Vitamin C serum,799,1099,400,60,Serum,Vitamin C,Yuvic,Face Care,"vitamin c, serum, glow",30,Vitamin C Hyaluronic Acid,0,Ships in 2-3 days,true,true,true
Coffee Firming Serum,SR-CF-001,Coffee serum for firm youthful skin,Coffee serum,749,999,375,60,Serum,Coffee,Yuvic,Face Care,"coffee, serum, firming",30,Coffee Extract Peptides,0,Ships in 2-3 days,false,true,true
Sea Buckthorn Repair Serum,SR-SB-001,Sea buckthorn serum for skin repair and healing,Sea buckthorn serum,849,1199,425,60,Serum,Sea Buckthorn,Yuvic,Face Care,"sea buckthorn, serum, repair",30,Sea Buckthorn Oil Vitamin E,0,Ships in 2-3 days,true,true,true
Strawberry Brightening Serum,SR-ST-001,Strawberry serum for bright even complexion,Strawberry serum,729,979,365,60,Serum,Strawberry,Yuvic,Face Care,"strawberry, serum, brightening",30,Strawberry Extract Niacinamide,0,Ships in 2-3 days,false,true,true
Guava Vitamin Serum,SR-GV-001,Guava serum packed with vitamins for healthy skin,Guava serum,749,999,375,60,Serum,Guava,Yuvic,Face Care,"guava, serum, vitamin",30,Guava Extract Vitamin C,0,Ships in 2-3 days,false,true,true
Pineapple Enzyme Serum,SR-PN-001,Pineapple enzyme serum for gentle exfoliation,Pineapple serum,769,1049,385,60,Serum,Pineapple,Yuvic,Face Care,"pineapple, serum, enzyme",30,Pineapple Extract Enzymes,0,Ships in 2-3 days,false,true,true
Papaya Brightening Serum,SR-PP-001,Papaya serum for bright radiant skin,Papaya serum,799,1099,400,60,Serum,Papaya,Yuvic,Face Care,"papaya, serum, brightening",30,Papaya Extract Vitamin C,0,Ships in 2-3 days,false,true,true
Kiwi Dragon Fruit Antioxidant Serum,SR-KD-001,Powerful antioxidant serum with kiwi dragon fruit,Kiwi dragon fruit serum,849,1199,425,60,Serum,Kiwi Dragon Fruit,Yuvic,Face Care,"kiwi, dragon fruit, serum",30,Kiwi Dragon Fruit Extract Antioxidants,0,Ships in 2-3 days,true,true,true
Anardana Anti-Aging Serum,SR-AN-001,Pomegranate serum for anti-aging benefits,Anardana serum,829,1149,415,60,Serum,Anardana,Yuvic,Face Care,"anardana, serum, anti-aging",30,Pomegranate Extract Retinol,0,Ships in 2-3 days,true,true,true
Vitamin C Exfoliating Scrub,SC-VC-001,Vitamin C scrub for gentle exfoliation and glow,Vitamin C scrub,349,469,175,75,Scrub,Vitamin C,Yuvic,Face Care,"vitamin c, scrub, exfoliating",150,Vitamin C Walnut Granules,0,Ships in 2-3 days,true,true,true
Coffee Energizing Scrub,SC-CF-001,Coffee scrub to energize and smooth skin,Coffee scrub,329,439,165,75,Scrub,Coffee,Yuvic,Face Care,"coffee, scrub, energizing",150,Coffee Grounds Sugar,0,Ships in 2-3 days,true,true,true
Sea Buckthorn Gentle Scrub,SC-SB-001,Gentle sea buckthorn scrub for sensitive skin,Sea buckthorn scrub,369,499,185,75,Scrub,Sea Buckthorn,Yuvic,Face Care,"sea buckthorn, scrub, gentle",150,Sea Buckthorn Oil Jojoba Beads,0,Ships in 2-3 days,false,true,true
Strawberry Fresh Scrub,SC-ST-001,Strawberry scrub for fresh radiant skin,Strawberry scrub,319,429,160,75,Scrub,Strawberry,Yuvic,Face Care,"strawberry, scrub, fresh",150,Strawberry Seeds Sugar,0,Ships in 2-3 days,false,true,true
Charcoal Deep Cleanse Scrub,SC-CH-001,Charcoal scrub for deep pore cleansing,Charcoal scrub,379,509,190,75,Scrub,Charcoal,Yuvic,Face Care,"charcoal, scrub, deep cleanse",150,Activated Charcoal Pumice,0,Ships in 2-3 days,true,true,true
Ubtan Traditional Scrub,SC-UB-001,Traditional ubtan scrub for natural glow,Ubtan scrub,339,459,170,75,Scrub,Ubtan,Yuvic,Face Care,"ubtan, scrub, traditional",150,Turmeric Gram Flour,0,Ships in 2-3 days,false,true,true
